name,sov_a3,latitude,longitude,pop_max,region
ACBTH,SGP,1.347375,104.050944,1745000,West
ACGP,SGP,1.333278,104.061233,1745000,East
AMOW,SGP,1.314717,104.069233,1745000,South
AEBA,SGP,1.305083,104.0465,1745000,West
ASCB,SGP,1.30495,103.982967,1745000,West
AEPBC,SGP,1.3,104.006583,1745000,West
AEBB,SGP,1.29195,103.982967,1745000,West
ASCA,SGP,1.30495,103.952883,1745000,West
AEPBB,SGP,1.3,103.94455,1745000,West
AESPA,SGP,1.296667,103.921583,1745000,West
AEBC,SGP,1.2775,103.921833,1745000,West
AEW,SGP,1.250633,103.862767,1745000,West
AEHC,SGP,1.250633,103.862767,1745000,West
AEPA,SGP,1.257167,103.897,1745000,West
AEHA,SGP,1.241883,103.929133,1745000,West
AEHB,SGP,1.244,103.8785,1745000,West
AWQI,SGP,1.218833,103.809667,1745000,West
AWW,SGP,1.250633,103.796767,1745000,West
AWPA,SGP,1.242083,103.788717,1745000,West
AWH,SGP,1.239433,103.785333,1745000,West
AWPB,SGP,1.230833,103.785467,1745000,West
ASPLU,SGP,1.227733,103.713883,1745000,West
ASPP,SGP,1.225667,103.70945,1745000,West
ARP,SGP,1.201767,103.7362,1745000,West
ARAFR,SGP,1.189433,103.752683,1745000,West
ASPH,SGP,1.16775,103.71925,1745000,West
ASUEX,SGP,1.179667,103.711667,1745000,West
ASSPU,SGP,1.1735,103.682767,1745000,West
ASPCA,SGP,1.18525,103.685333,1745000,West
ASDPA,SGP,1.17115,103.684833,1745000,West
ASLP,SGP,1.175667,103.678833,1745000,West
AVLCC,SGP,1.221483,103.641333,1745000,West

